target,distractor,distance
dolly3,puppy,0.503
puppy,dolly3,0.503
dog24,cat17,0.537
cat17,dog24,0.537
remote,pacifier,0.538
pacifier,remote,0.538
elephant,cow,0.543
cow,elephant,0.543
dog,kittycat3,0.544
kittycat3,dog,0.544
paci8,milk17,0.565
milk17,paci8,0.565
monkey20,teddy6,0.566
teddy6,monkey20,0.566
tiger5,monkey19,0.571
monkey19,tiger5,0.571
kittycat4,dog21,0.573
dog21,kittycat4,0.573
dog,cat2,0.573
cat2,dog,0.573
kitty12,puppy14,0.575
puppy14,kitty12,0.575
bottle26,diaper15,0.578
diaper15,bottle26,0.578
book72,car20,0.587
car20,book72,0.587
bottle,diaper,0.602
diaper,bottle,0.602
highchair9,shoe18,0.604
shoe18,highchair9,0.604
table6,slide7,0.606
slide7,table6,0.606
bunny,duck,0.608
duck,bunny,0.608
garbage,water,0.616
water,garbage,0.616
horse8,owl8,0.619
owl8,horse8,0.619
ball,flower,0.625
flower,ball,0.625
bunny10,duck12,0.628
duck12,bunny10,0.628
lion,frog,0.628
frog,lion,0.628
giraffe10,elephant22,0.629
elephant22,giraffe10,0.629
ball55,cup17,0.63
cup17,ball55,0.63
doggy22,bear13,0.633
bear13,doggy22,0.633
highchair2,diaper5,0.633
diaper5,highchair2,0.633
milk1,wagon1,0.635
wagon1,milk1,0.635
owl9,bear14,0.636
bear14,owl9,0.636
shoe14,tablet2,0.637
tablet2,shoe14,0.637
flower8,ball64,0.637
ball64,flower8,0.637
duck11,kangaroo2,0.638
kangaroo2,duck11,0.638
ball,sippycup,0.639
sippycup,ball,0.639
piano,cup,0.64
cup,piano,0.64
remote,ball,0.641
ball,remote,0.641
baba2,shoe,0.646
shoe,baba2,0.646
sippycup3,highchair7,0.649
highchair7,sippycup3,0.649
puppy3,cow,0.651
cow,puppy3,0.651
monkey21,kitty14,0.657
kitty14,monkey21,0.657
ducky7,wubby2,0.659
wubby2,ducky7,0.659
ball,cup,0.66
cup,ball,0.66
diaper13,book79,0.661
book79,diaper13,0.661
duck,kangaroo,0.664
kangaroo,duck,0.664
caterpillar4,book69,0.665
book69,caterpillar4,0.665
chair14,bottle22,0.665
bottle22,chair14,0.665
dog21,monkey18,0.668
monkey18,dog21,0.668
chair16,train22,0.669
train22,chair16,0.669
crib,highchair,0.67
highchair,crib,0.67
brush7,water29,0.671
water29,brush7,0.671
shoe,bottle,0.673
bottle,shoe,0.673
cow,dog,0.673
dog,cow,0.673
table,bed,0.676
bed,table,0.676
teddybear4,dog22,0.68
dog22,teddybear4,0.68
garbage100,water100,0.681
water100,garbage100,0.681
vacuum7,ball57,0.683
ball57,vacuum7,0.683
water27,spoon15,0.684
spoon15,water27,0.684
teddy6,doll7,0.684
doll7,teddy6,0.684
drum7,train21,0.685
train21,drum7,0.685
baby23,doggy24,0.692
doggy24,baby23,0.692
highchair2,ball50,0.693
ball50,highchair2,0.693
diaper9,bathtub3,0.696
bathtub3,diaper9,0.696
doggy,fish,0.696
fish,doggy,0.696
baby,doggy,0.697
doggy,baby,0.697
cow23,dog23,0.698
dog23,cow23,0.698
doll,teddy,0.7
teddy,doll,0.7
blocks17,shoe13,0.701
shoe13,blocks17,0.701
phone16,milk13,0.703
milk13,phone16,0.703
crib2,highchair8,0.703
highchair8,crib2,0.703
highchair,shoe,0.705
shoe,highchair,0.705
elephant,giraffe,0.705
giraffe,elephant,0.705
diaper,shoe,0.706
shoe,diaper,0.706
wagon2,bottle24,0.706
bottle24,wagon2,0.706
bottle17,stroller5,0.707
stroller5,bottle17,0.707
gate,tractor,0.707
tractor,gate,0.707
teddybear,dog,0.708
dog,teddybear,0.708
doggy,bear,0.709
bear,doggy,0.709
diaper,highchair,0.71
highchair,diaper,0.71
water,sock,0.715
sock,water,0.715
pacifier5,highchair10,0.715
highchair10,pacifier5,0.715
hat,ball,0.716
ball,hat,0.716
water25,sock6,0.717
sock6,water25,0.717
spoon,water,0.72
puppy18,dolly5,0.721
dolly5,puppy18,0.721
ball54,diaper6,0.722
diaper6,ball54,0.722
wubby3,ducky8,0.723
ducky8,wubby3,0.723
bottle,blanket,0.725
blanket,bottle,0.725
horse,owl,0.726
owl,horse,0.726
guitar8,balloon6,0.726
balloon6,guitar8,0.726
diaper,bathtub,0.729
bathtub,diaper,0.729
kitty,monkey,0.73
monkey,kitty,0.73
teddy2,monkey,0.734
monkey,teddy2,0.734
water,brush,0.735
brush,water,0.735
clock2,bottle20,0.737
bottle20,clock2,0.737
bird,kitty,0.739
kitty,bird,0.739
plate5,broom3,0.74
broom3,plate5,0.74
puppy14,cow19,0.741
cow19,puppy14,0.741
stroller2,door,0.741
door,stroller2,0.741
sippycup,highchair,0.741
highchair,sippycup,0.741
water31,pacifier6,0.741
pacifier6,water31,0.741
tiger,monkey,0.742
monkey,tiger,0.742
sandbox2,bike4,0.742
bike4,sandbox2,0.742
hat8,book82,0.742
book82,hat8,0.742
kitty13,elephant19,0.745
elephant19,kitty13,0.745
hat5,ball51,0.746
ball51,hat5,0.746
truck23,brush5,0.747
brush5,truck23,0.747
monkey,dog,0.749
dog,monkey,0.749
blanket2,bottle23,0.751
bottle23,blanket2,0.751
baby21,doggy21,0.754
doggy21,baby21,0.754
bottle18,phone13,0.754
phone13,bottle18,0.754
wagon,milk9,0.755
milk9,wagon,0.755
shoe10,bottle16,0.757
bottle16,shoe10,0.757
milk,paci,0.757
paci,milk,0.757
bottle,stroller,0.761
stroller,bottle,0.761
spoon,ball,0.764
ball,spoon,0.764
kitty,puppy2,0.765
puppy2,kitty,0.765
shoe,keys,0.767
keys,shoe,0.767
cup18,piano7,0.768
piano7,cup18,0.768
shoe8,baba7,0.769
baba7,shoe8,0.769
highchair3,shoe11,0.769
stroller,blocks2,0.769
blocks2,stroller,0.769
shoe11,highchair3,0.769
stroller6,door6,0.769
door6,stroller6,0.769
spoon19,chair17,0.769
chair17,spoon19,0.769
remote2,ball60,0.77
ball60,remote2,0.77
block,highchair,0.771
highchair,block,0.771
cup19,book78,0.771
book78,cup19,0.771
kitty15,bird4,0.771
bird4,kitty15,0.771
diaper11,spoon16,0.772
spoon16,diaper11,0.772
hat6,truck22,0.773
truck22,hat6,0.773
guitar2,balloon2,0.773
balloon2,guitar2,0.773
wagon,bottle,0.773
bottle,wagon,0.773
sunglasses4,keys4,0.774
keys4,sunglasses4,0.774
paci,cat2,0.774
cat2,paci,0.774
highchair,paci3,0.774
paci3,highchair,0.774
ball69,block9,0.776
block9,ball69,0.776
brush6,train20,0.777
train20,brush6,0.777
book7,shoes2,0.779
shoes2,book7,0.779
blanket3,piano8,0.78
piano8,blanket3,0.78
car22,shoes7,0.782
shoes7,car22,0.782
drum6,hammer6,0.783
hammer6,drum6,0.783
diaper,fan,0.784
fan,diaper,0.784
water28,keys6,0.785
keys6,water28,0.785
book63,spoon14,0.786
spoon14,book63,0.786
cow21,elephant21,0.786
elephant21,cow21,0.786
book7,keys,0.786
keys,book7,0.786
stroller4,blocks16,0.787
blocks16,stroller4,0.787
whale3,book62,0.787
book62,whale3,0.787
ball,diaper,0.787
diaper,ball,0.787
book7,phone7,0.788
phone7,book7,0.788
bed2,table5,0.789
table5,bed2,0.789
shoes3,car19,0.789
car19,shoes3,0.789
book77,keys8,0.79
keys8,book77,0.79
elephant,kitty,0.791
kitty,elephant,0.791
shoe19,diaper14,0.791
diaper14,shoe19,0.791
milk14,keys9,0.791
keys9,milk14,0.791
blocks2,spoon,0.791
spoon,blocks2,0.791
ball56,sippycup2,0.792
sippycup2,ball56,0.792
diapey2,blocks19,0.794
blocks19,diapey2,0.794
shoe9,blocks15,0.796
blocks15,shoe9,0.796
baby22,doggy23,0.799
doggy23,baby22,0.799
drum2,train,0.8
train,drum2,0.8
keys7,shoe16,0.801
shoe16,keys7,0.801
tablet3,bottle25,0.802
bottle25,tablet3,0.802
phone12,shoe12,0.804
fish14,doggy25,0.804
doggy25,fish14,0.804
chair,bottle,0.805
bottle,chair,0.805
cup,book7,0.805
book7,cup,0.805
truck24,waterbottle2,0.806
waterbottle2,truck24,0.806
owl,bear,0.806
bear,owl,0.806
caterpillar,book7,0.809
book7,caterpillar,0.809
shoe17,book76,0.81
book76,shoe17,0.81
phone14,ball58,0.812
ball58,phone14,0.812
book67,puppy16,0.814
puppy16,book67,0.814
fan5,diaper10,0.815
diaper10,fan5,0.815
truck,waterbottle,0.815
waterbottle,truck,0.815
ball62,cup20,0.816
cup20,ball62,0.816
clock,bottle,0.817
bottle,clock,0.817
spoon,chair,0.817
chair,spoon,0.817
keys5,hat7,0.818
piano,blanket,0.818
blanket,piano,0.818
ball67,car23,0.819
car23,ball67,0.819
ball70,shoe20,0.82
shoe20,ball70,0.82
shoe,blocks,0.821
blocks,shoe,0.821
shoe,tablet,0.821
tablet,shoe,0.821
keys,sunglasses2,0.822
sunglasses2,keys,0.822
phone,shoe,0.822
shoe,phone,0.822
elephant18,book60,0.823
book60,elephant18,0.823
glasses2,bath,0.823
bath,glasses2,0.823
ball68,spoon20,0.823
spoon20,ball68,0.823
hat,keys,0.824
keys,hat,0.824
water30,puzzle9,0.825
puzzle9,water30,0.825
highchair6,block8,0.826
block8,highchair6,0.826
vacuum,ball,0.829
ball,vacuum,0.829
glasses100,bath100,0.829
bath100,glasses100,0.829
drum,hammer,0.831
hammer,drum,0.831
broom,plate,0.831
plate,broom,0.831
milk100,remote100,0.833
remote100,milk100,0.833
remote,milk,0.834
milk,remote,0.834
ball,car,0.834
car,ball,0.834
spoon,car3,0.834
car3,spoon,0.834
phone18,book84,0.834
book84,phone18,0.834
bottle,tablet,0.835
tablet,bottle,0.835
block7,headphones2,0.837
headphones2,block7,0.837
block,ball,0.837
ball,block,0.837
diaper,spoon,0.839
spoon,diaper,0.839
sippy,book7,0.84
book7,sippy,0.84
sippycup,book7,0.843
book7,sippycup,0.843
spoon17,book71,0.843
book71,spoon17,0.843
slide,table,0.843
table,slide,0.843
sippy2,book80,0.844
book80,sippy2,0.844
blocks1,diapey,0.848
diapey,blocks1,0.848
shoes2,maraca,0.848
maraca,shoes2,0.848
spoon21,blocks21,0.848
blocks21,spoon21,0.848
train,chair,0.849
chair,train,0.849
lion7,frog8,0.849
frog8,lion7,0.849
phone,bottle,0.85
bottle,phone,0.85
milk,blueberries5,0.85
blueberries5,milk,0.85
chair15,blocks20,0.851
blocks20,chair15,0.851
pacifier4,remote3,0.851
remote3,pacifier4,0.851
phone8,book7,0.853
book7,phone8,0.853
ball,shoe,0.853
shoe,ball,0.853
spoon18,car21,0.854
car21,spoon18,0.854
puppy15,book65,0.856
book65,puppy15,0.856
