target,distractor,distance
kitty,puppy,0.503
elephant,book,0.503
ball,highchair,0.537
puppy,kitty,0.537
baba,shoe,0.538
highchair,ball,0.538
book,elephant,0.543
shoe,baba,0.543
kitty,puppy,0.544
baba,shoe,0.544
puppy,kitty,0.565
ball,highchair,0.565
shoe,baba,0.566
book,elephant,0.566
highchair,ball,0.571
elephant,book,0.571
ball,sippycup,0.573
block,headphones,0.573
brush,truck,0.573
sippycup,ball,0.573
cat,book,0.575
truck,brush,0.575
headphones,block,0.578
book,cat,0.578
ball,sippycup,0.587
cat,book,0.587
sippycup,ball,0.602
brush,truck,0.602
book,cat,0.604
headphones,block,0.604
truck,brush,0.606
block,headphones,0.606
doggy,bear,0.608
diaper,bathtub,0.608
vacuum,ball,0.616
piano,cup,0.616
bear,doggy,0.619
ball,vacuum,0.619
diaper,bathtub,0.625
vacuum,ball,0.625
doggy,bear,0.628
cup,piano,0.628
bathtub,diaper,0.628
bear,doggy,0.628
ball,vacuum,0.629
cup,piano,0.629
bathtub,diaper,0.63
piano,cup,0.63
shoe,blocks,0.633
water,sock,0.633
hat,ball,0.633
monkey,dog,0.633
blocks,shoe,0.635
ball,hat,0.635
water,sock,0.636
hat,ball,0.636
shoe,blocks,0.637
dog,monkey,0.637
sock,water,0.637
blocks,shoe,0.637
ball,hat,0.638
dog,monkey,0.638
sock,water,0.639
monkey,dog,0.639
ball,highchair,0.64
hat,truck,0.64
dog,kittycat,0.641
highchair,ball,0.641
sippycup,book,0.646
kittycat,dog,0.646
truck,hat,0.649
book,sippycup,0.649
sippycup,book,0.651
dog,kittycat,0.651
book,sippycup,0.657
truck,hat,0.657
kittycat,dog,0.659
hat,truck,0.659
puppy,cow,0.66
highchair,shoe,0.66
stroller,blocks,0.661
spoon,book,0.661
cow,puppy,0.664
blocks,stroller,0.664
highchair,shoe,0.665
stroller,blocks,0.665
puppy,cow,0.665
book,spoon,0.665
shoe,highchair,0.668
cow,puppy,0.668
blocks,stroller,0.669
book,spoon,0.669
shoe,highchair,0.67
spoon,book,0.67
shoe,bottle,0.671
horse,owl,0.671
tiger,monkey,0.673
book,whale,0.673
bottle,shoe,0.673
monkey,tiger,0.673
horse,owl,0.676
tiger,monkey,0.676
shoe,bottle,0.68
whale,book,0.68
owl,horse,0.681
