image_1,image_2,distance
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty12.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy14.jpg,0.575
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book60.jpg,0.823
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,0.915
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy14.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty12.jpg,0.575
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baba2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,0.646
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball50.jpg,0.693
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,0.896
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe8.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baba7.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy2.jpg,0.765
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baba7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe8.jpg,0.769
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/puppy2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/kitty.jpg,0.765
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball50.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair2.jpg,0.693
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/shoe.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/baba2.jpg,0.646
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book60.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant18.jpg,0.823
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/highchair.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.915
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/elephant.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.896
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball56.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup2.jpg,0.792
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/headphones2.jpg,0.837
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck7.jpg,0.864
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball56.jpg,0.792
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,0.95
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck23.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush5.jpg,0.747
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/headphones.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block.jpg,0.868
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book68.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat15.jpg,0.86
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup.jpg,0.639
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat15.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book68.jpg,0.86
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/sippycup.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.639
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush5.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck23.jpg,0.747
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/book7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cat.jpg,0.95
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/headphones2.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block7.jpg,0.837
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/truck7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/brush.jpg,0.864
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/block.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/headphones.jpg,0.868
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy22.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear13.jpg,0.633
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper9.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bathtub3.jpg,0.696
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,0.829
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup.jpg,0.64
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear13.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy22.jpg,0.633
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum.jpg,0.829
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bathtub.jpg,0.729
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum7.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball57.jpg,0.683
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear.jpg,0.709
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/cup18.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/piano7.jpg,0.768
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bathtub3.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/diaper9.jpg,0.696
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/bear.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/doggy.jpg,0.709
/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/ball57.jpg,/content/drive/My Drive/peekbank/image_sets/garrison_bergelson_2020/vacuum7.jpg,0.683
